frame,timeSec,segIndex,t,x,y,z,frameDurMs,activeCount,sumIntensity,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31
85,1.2750,42,0.844,0.422,0.000,0.000,20,6,180,0,0,0,0,0,0,0,0,19,16,1,0,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1.2900,43,0.000,0.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1.3050,43,0.844,0.922,0.000,0.000,20,6,188,0,0,0,0,0,0,0,0,8,25,5,0,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1.3200,44,0.000,1.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1.3350,44,0.844,1.422,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,2,19,16,1,6,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1.3500,45,0.000,1.500,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1.3650,45,0.844,1.922,0.000,0.000,20,7,189,0,0,0,0,0,0,0,0,0,8,25,5,1,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1.3800,46,0.000,2.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1.3950,46,0.844,2.422,0.000,0.000,20,6,184,0,0,0,0,0,0,0,0,0,2,19,16,0,6,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1.4100,47,0.000,2.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1.4250,47,0.844,2.922,0.000,0.000,20,5,164,0,0,0,0,0,0,0,0,0,0,8,25,0,1,31,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1.4400,48,0.000,3.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1.4550,48,0.844,3.000,0.000,0.844,20,8,156,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,16,0,0,0,0,0,0,0,0,0,0,5,21,0,0,21,84
98,1.4700,49,0.000,3.000,0.000,1.000,20,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100
99,1.4850,49,0.844,2.578,0.000,1.000,20,6,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,0,3,63,78
100,1.5000,50,0.000,2.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71
101,1.5150,50,0.844,2.078,0.000,1.000,20,6,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31
102,1.5300,51,0.000,2.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25
103,1.5450,51,0.844,1.578,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,2,3,63,78,6
104,1.5600,52,0.000,1.500,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4
105,1.5750,52,0.844,1.078,0.000,1.000,20,7,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31,1
106,1.5900,53,0.000,1.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0
107,1.6050,53,0.844,0.578,0.000,1.000,20,6,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,2,0,63,78,6,0
108,1.6200,54,0.000,0.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0
109,1.6350,54,0.844,0.078,0.000,1.000,20,5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,99,31,1,0
